"","klasifikasi","score","text"
"76","Netral",0," just info gatotkaca am sri asih vendor ngerjaan vfx   studio"
"77","Netral",0,"review mba sri asih  motoran storyan"
"78","Netral",0,"   end act  nutusri asih  tebalikin mobil sri asih   bantu gundala"
"79","Netral",0," total i mean if you mention gundalasri asih"
"80","Netral",0,"btw mba  sri asih centong    for "
"81","Netral",0," trus jatmiko   werfull  sri asih terdesak    serangan  jat "
"82","Negatif",-1,"jagabumi  film sri asih  anggota  berbeda  kayanya kebanyakan  orang  tugas  adala "
"83","Netral",0," aaa iyaa  nder setujuu abis  sri asih lgsg   sm bcu iniii am sti ngikutin semoga fil "
"84","Netral",0," jaman modern anggota inti jagabumi   mandala maza kanigara aquanus dhanus sri asih nani wijaya  awanggodam"
"85","Netral",0," netflix and chill  sodara  bioskosemoga lu  car  kasian  beneran bego b "
"86","Positif",1," sri asihini film action indo bagus banget wei   ditontonkmrn   beneran assss ban "
"87","Negatif",-1,"  maksud  sri asih nder kena  sang dewi bgst kbru  klik  "
"88","Netral",0,"  sri asih ta    "
"89","Netral",0," sri asih btw klo   blm nntn  daerah jkt or tgr ingfoin nobar yak"
"90","Negatif",-2," background story berantakan salah   background storynya ling bagus  rambut ya   ci "
"91","Netral",0," sri asih"
"92","Positif",1,"sri asih bagus banget anjrittt"
"93","Netral",0," bahas  jagabumi kelomk   familiar  mbaca cergam bumilangit  film sri asih jag "
"94","Netral",0," highly recommend the movies  barengan ya ntnnya  gundala  sri asih  rilis belangan equel "
"95","Positif",1," sri asih seru nder"
"96","Negatif",-1,"  milih sri asih  bagus jugaaata wakanda forever  mantealagi s scene dora milaje mukulin orang"
"97","Positif",1,"  diakuin emang salah   terbaik cginya sri asih menang tis  ps  scene kain tih  ganngu "
"98","Positif",1,"sri asih seru ga ya   bioskoyg  horor "
"99","Netral",0," kalung  dike  prayogo   teori kalung   sengaja dikasih  ghazul  iming "
"100","Netral",0,"profil  biodata jenny zhang aktris meran karakter sarita hamzah  pevita pearce  film sri asih "
"101","Netral",0," sri asih "
"102","Netral",0," trus tau drmana  menfess ttg sri asih"
"103","Negatif",-1," orang da ngaren cgi  sri asih  avatar  a gimana ya  segi budget   ngerjaannya aj "
"104","Positif",1,"  salaaaaaaah banget ga ngikutin film    namanya sinema vibe andai duitku   mun "
"105","Netral",0,"abis kuliah     nobar sri asih ganih gaytembalang gaysemarang"
"106","Netral",0," tan  sadari  sri asih "
"107","Netral",0," sri asih aneh"
"108","Netral",0,"yuk simak tret    pevita pearce cs "
"109","Netral",0," jkt cus sri asih  keramat  deh "
"110","Negatif",-3,"khusus bp  sri asih   bareng orang  ta   sibuk  huhu"
"111","Netral",0,"semalem  sri asih  loh lohlohdibikin mikir   deket dijauhin   deket"
"112","Netral",0,"   film sri asih  ghazul runya mengabdi da dewi a     misi membangkit "
"113","Netral",0,"sri asih  tayang desember  ga ya pengen bet   "
"114","Negatif",-1," togun maverick black panther wakanda forever sri asih black adam pengabdi setan  communion"
"115","Negatif",-1,"   rambut  semt dibahas sm mbk u    ngebedain sur hero am "
"116","Positif",2,"sri asih keren banget woy"
"117","Negatif",-1,"gi  ngobrol  ayah  suruh   sri asih ta  ceritain   sam "
"118","Netral",0,"belom  wakanda forever sri asih  the menu udh tayang  maahhh   semuaaaaa"
"119","Negatif",-1," ntar    sri asih  bosenin fix  ketiduran sih pevita semoga u buktiin film u bagus ye"
"120","Netral",0,"besok   sri asih  hehehe"
"121","Netral",0,"  please please  guyss   buzzer   sesayang   bcu habis  sri as "
"122","Negatif",-2," seng  villain e sri asih  lemah kebanyakan manusia  kecuali roh jahat ndek last "
"123","Netral",0," sri asih"
"124","Negatif",-3," plotmya   background story alana  berantakan konflik  dee dialog kaku ad "
"125","Positif",1," ganggu  w  sri asih tuh efek fightingnya  aan banget deh cgi w ga eskktasi a ya cukulah "
"126","Positif",1,"kumlan atasan cewek croedbcdsebuah utas miracleincellno miracle indo csemua sudirman umkm lockey astro lele "
"127","Netral",0,"pengen noton sri asih cuman ga  temen  ngga   ngajakin hadeh  ngga   "
"128","Negatif",-1,"  mas  cgi  bagus  film indonesia  wiro sableng foxtrot six ratu ilmu hitam dre "
"129","Netral",0," an      film sri asih  bioskoitu  baik    g m "
"130","Negatif",-1,"  setuju mas cgi sri asih  ningkatan  film gundala  gatot kaca"
"131","Netral",0,"maw  sri asih s"
"132","Negatif",-1," sll wallr mbak vita s jd sri asih  gila  emang  keren  sih"
"133","Netral",0," sri asih"
"134","Negatif",-1,"sejujurnya   film sri asih   jalan cerita  boring ya    sarnya  ed "
"135","Negatif",-1," tau temennya naruto  suka makan  kn  jd gede sri asih jg "
"136","Netral",0," ing sri asih ngadi idlix"
"137","Positif",1," waah terima kasih  njelasannya ya kak  dewi a   tau  kah   alana "
"138","Netral",0," sri asih "
"139","Netral",0," sri asih"
"140","Netral",0,"btw movie comnion sri asih nggak  logo koloninya yak "
"141","Netral",0,"sri asih "
"142","Netral",0,"now im waiting for cergam klasik sri asih versi remaster"
"143","Negatif",-2,"    ngebahas roh setan kemunculan karakter  cukura antingnya   versi film  "
"144","Netral",0," kunci  jd wadah dr dewi a   kemarahan  sri asih  kesabaran  maksud de "
"145","Negatif",-2," kelar baca movie comnion sri asih  baca ulang  gundala so far menarik   flashback   "
"146","Negatif",-2," gua rnah bilang cgi sri asih  keren    gua dibayar  ga  uang  masuk ya "
"147","Netral",0," hilangnya jagau   misteri banget akah   hiduatau  mati sti taulah  komik "
"148","Netral",0," coba cocokkan      jatmiko lang  rumahnyadan  rnyataan joko "
"149","Netral",0," character develoent sri asih      gaada satun   korbanin  menc "
"150","Negatif",-1,"  si nenek   salah  panjaga buana    cergam sri asih the official movie comnion p "
"151","Positif",1,"maaf banget ta sri asih  bagus darida gundala  alur cerita  cinematic "
"152","Netral",0,"    titisan  sri asih dewi a mencoba nyaliduluan ta  bayi alana diselam "
"153","Netral",0,"sri asih was okay better than gundala"
"154","Netral",0,"uya kelomk  digagalkan  sri asih nani wijaya karakter  dirankan  najwa shihab sri asih "
"155","Negatif",-2,"sri asih oke sih tkok gundalanya ganti ciko"
"156","Netral",0,"dewi a sertinya  dendam     dewi asih   dikalahkan  dikurung   "
"157","Netral",0," wkwk  skrg  balikin   jg ndat lu  cgi sri asih g "
"158","Positif",1,"dewi a   nglimanya  sertinya   lawan utama  film patriot  pasukan kegelan "
"159","Negatif",-1,"   scene roh setan aka jatmiko vs alana aka sri asih  fight scene bener  bikin  menghela nafa "
"160","Netral",0,"sri asih a keramat ya"
"161","Netral",0,"sri asih bagus ta ngambil gambarnya   kurengg gmn gt"
"162","Netral",0," sri asih bareng yuk"
"163","Netral",0," imbang ya sre timenya  dike  scene scene   ngejawab bebera ot hole  udh   "
"164","Negatif",-1,"sri asih bagus sih tkarena eksktasiku   kek cuman  "
"165","Netral",0,"kirakira godam  tayang  ya  gundala  sri asih   nunggu   huhu "
"166","Netral",0,"   ga nanya   bagus ta  segila sri asih   artian beda emang mrs "
"167","Netral",0,"adek w senjang  sri asihanjir    cewe secakeinicakebanget anjirrrastagfirullah cake "
"168","Netral",0,"seriously ya jujur kayaknya mah film    ngasih njelasan  detail     term "
"169","Netral",0,"please minggu libur blum kesaman  wakandahh   sri asih  "
"170","Netral",0,"sri asih komedinya lebi dikit  gundala feels like  serius  jrg ketawa"
"171","Netral",0,"ide jeje   sri asih best "
"172","Negatif",-2,"imo anger issuenya  tuh   took a big rt  sih  nghalangnya   nerusin garis  "
"173","Negatif",-3," penilaian  sifatnya subjektif tergantung sia  nilai  ya sah     bilan "
"174","Negatif",-1,"bener sih ta  the way si eyang didnt even bother to told her about how she have to control his emotion "
"175","Positif",1,"reza rahadian emo banget  sri asih"
"176","Negatif",-1," eyang blg alana  garis keturunanny sri asih titisanny sri asih but she also seems like she has t "
"177","Netral",0,"sri asih    pevita was able to fulfill her role as sri asih throughout the film terrific the scenario "
"178","Netral",0,"    sabar  sri asih  gundala bertemu    cerita godam  sabar  "
"179","Netral",0,"abis  sriasih so sorry konten   mengandung siler     sri asih  urutan  "
"180","Netral",0,"ajrrr sri asih keren  hellooo wajib  pls  mohon "
"181","Netral",0,"   sri asih  ngasih liat  ndasi  rfect  universe saga sur hero lokal stlh kmr "
"182","Negatif",-2,"mundur   jaman gundala joko anwar  rnah ngetwit     ki wilawuk  rta "
"183","Negatif",-1,"ceritanya     film sri asih    jalan ceritanya miridan cukudekat  r "
"184","Netral",0," sri asih silerfilmnya overall not bad cgi si   bnyk  bahas ya tg msi enjoy wat d tnton  "
"185","Netral",0,"  ngira sri asih hantuan "
"186","Netral",0,"  sri asih ta nasaran the menu "
"187","Netral",0,"tolong  gatenang  mikirin plot hole  sri asih  kek kelanjutannya apaaaa"
"188","Netral",0," sri asih movie comnion isinya kurleb latar     mufi    usu "
"189","Netral",0,"gundala gt sri asih"
"190","Netral",0,"review sri asih vita manteudah gitu  "
"191","Negatif",-1," kecewa  sri asih"
"192","Negatif",-1,"jujur gua   sri asih tbanyak  bilang   dikit   gitu   salah milihan tang "
"193","Netral",0,"  sri asih  gundala  gaes"
"194","Netral",0,"sri asihfilmnya  suka bangeeett ngeeet banggeeetttlebih bagus  banding gundala  teknisanimasicgief "
"195","Netral",0," sri asih  wakanda bentar lg   disney"
"196","Netral",0,"sri asih  ec dibanding gundala karna  si gundala  masuk agent kek avengersnya  cek marvelna mah"
"197","Netral",0,"tbh sri asih kureng"
"198","Netral",0," sri asih wakanda   disney wkwkwk"
"199","Positif",1,"silerseru banget  sri asih  jurus kage bunshin"
"200","Netral",0,"aktris  berdedi kasih  peran sebagi surhero cewek indonesia  surhero bumilangit berran sebag "
"201","Netral",0,"oh iya sri asih   rnah difilmkan da   pemeran nani wijaya  aktris bernama mimi m "
"202","Netral",0," sri asih"
"203","Netral",0,"sri asih actionnya banyakkk nggak lit  gundala wkwkwk"
"204","Netral",0,"  ak nntn sri asih"
"205","Positif",1," bentuk aesiasi  dukungan  kemajuan rfilman nasional menteri bumn   kesibukannya menyem "
"206","Netral",0,"konseya sri asih kh "
"207","Negatif",-1,"duhhh   siler ta fighting scene  hamr  fight scene bagus cgv   ukuran indo "
"208","Negatif",-2," kemirin alana versi cergam  film    nama  desain kostum sri asih  mirika "
"209","Netral",0," sri asih"
"210","Negatif",-1,"  a bersedih hati  baik  sri asih"
"211","Netral",0,"marathon movie  kyknya bgus haha  blm nnton blacknther sri asih trus tambahin deh the menu am keramat "
"212","Netral",0,"mnding  wakanda  sri asih  duany t wktuny g tau   ga wakanda  kali y"
"213","Netral",0,"   habis  sri asih "
"214","Netral",0,"  gaikut ngomongin sri asih dikul jg "
"215","Netral",0,"ta  dikir ya gundala  segi cerita   baik  sri asih ya emang fokusnya beda si ta tem "
"216","Netral",0," keknya abis  sri asih kebayangnya  ring kali"
"217","Netral",0,"nasaran   sri asih  yu"
"218","Netral",0," cergam sri asih the movie comnion kisah   alana  diceritakan kecintaan alana da ilmu b "
"219","Netral",0," i just want to say we want more semoga oject bumilangit tetenjang umur   bener bener suk "
"220","Netral",0,"  layak banget ditonton pevita sbg sri asih  ling tet teteutersonanya sm dimas anggara "
"221","Negatif",-1,"jawabannya ngga serti      alana versi film  versinya   ngga berhubungan de "
"222","Netral",0,"   lu ga  komain    bilang sri asih   baik  s "
"223","Netral",0,"  sri asih  dirkenalkan    webtoon sri asih celestial goddess alana diceritakan "
"224","Negatif",-1,"meaartistnya sri asih astagaa orang  cakejadi  cake"
"225","Negatif",-2,"akah   nglima manusia  siluman  haus darah   cergam rtama tira berjudul dracula "
"226","Negatif",-2,"   kaya build ucerita  sri asih  sia kaya jelasin karakter  villainnya  sia "
"227","Netral",0,"sri asih   jagat cergam bumilangit dirkenalkan     aktivis lingkungan bernama rangga "
"228","Negatif",-1,"sia    mengajak  sri asih dingl ngaku"
"229","Netral",0," film karakter nani wijaya dirankan  najwa shihab pastinya  rbedaan latar    "
"230","Netral",0,"sri asih oke  efeknya ga  terbang  garuda"
"231","Netral",0," kemaren sri asih minggu   selasa  beda circle "
"232","Netral",0,"btw film sri asih   ga booming  ya a krn salah timing ya  acting role jalan ceritanya bagus bangett"
"233","Netral",0,"cergam rtama sri asih terbit   bak ra kosasih memrkenalkan  remam bernama nani wijaya "
"234","Netral",0," sri asih "
"235","Negatif",-1,"erick thohir  lut  serbuan masyarakat  memintanya  berfoto   menonton film  sri asi "
"236","Netral",0,"  sri asih  tenggara    secetnya"
"237","Netral",0," boikot sian  ngomongin sri asih"
"238","Netral",0,"sri asih with no contextspevitanya   "
"239","Netral",0,"  bahas alana ta    kenalan   ra sri asih    cergam bumilangit  in "
"240","Netral",0,"sri asih gt black nther "
"241","Negatif",-1,"pembahasan rtama    alana sang sri asih   sia   terang alana versi film  "
"242","Positif",1," tabrakan  sri asih untung    bioskolebih lih sri asih "
"243","Negatif",-2,"  bingung adakah  salah  film  sriasih  layak ditonton  bany "
"244","Positif",3,"ya allah semoga jodohku  pevita pearcemaaf banget sri asih    bagus ta pevita cantik banget  allah ya rabb"
"245","Netral",0,"  sri asih "
"246","Netral",0,"sri asih bagus ges  gitu  tjgn dicomrenya  marvel ya mon ma"
"247","Netral",0,"weh    sri asih  ngga sihhhmasi  bioskop  turun layar buru  "
"248","Netral",0,"   calon sri asih  msh struggle ngelawan amarahnyakeren km ris semangat trs sam jd sri asih ya "
"249","Netral",0,"sri asih rate  jumcarednya tet sasaran am   lumayan intriguing  orang   terla "
"250","Negatif",-1,"sri asih  film  bumilangit cinematic universe bcu  tayang  biosko kehadirannya membuka semest "
"251","Netral",0,"terharubgt  sriasih  rfilman indonesia  bikin film   cgieffect sekeren "
"252","Positif",1,"kasian  ibumu  mengajarkan mu  menghargai remansri asih"
"253","Netral",0," ngikutin bcu ah mari     gundala  sri asih  "
"254","Netral",0," sri asih karna nasaran mbak v  mbak dian habis   tetetersena   reza rahadian "
"255","Negatif",-3," sri asihmencuri raden salehpengabdi setan ngeri ngeri sedaerfect strangers"
"256","Netral",0," bang tolong  bang emang  anak  diasuh  panti asuhan katholik belajar agama isl "
"257","Netral",0,"   d snsori  terima kasih traktiran na  ntn td utk sri asih ku kasih r "
"258","Netral",0," the menu  sri asih ya "
"259","Netral",0,"sri asih bagus "
"260","Negatif",-1," mencuri raden salehsri asih"
"261","Netral",0,"keliatan dgn sri asih emang berhasil  nyambungin universenya dgn gundala ta  liat filmnya doang  ba "
"262","Negatif",-1,"adegan gelut sri asih edun sih cuy"
"263","Negatif",-1,"sri asih okelah sih  film indo yahnya cginya   smooth ceritanya  arahnya  dibawa kemana akting mainnya okkk"
"264","Netral",0,"sri asih  si jimin "
"265","Netral",0,"ingetin   review sri asih lu mulu  jumat kmrn"
"266","Negatif",-1," bang sri asih bagusssh remake panji manusia milenium vs muka rusak bang "
"267","Positif",1,"   ndat lu klo  bilang   kualitas gatotkaca salahnya "
"268","Positif",1,"tokoh     tease  komik webtoon sri asih celesial goddess "
"269","Negatif",-1,"sri asih keren sih karakter utamanya alagi they did very well  sayangnya  bebera rt  menurutku "
"270","Positif",1,"   lu  ratakan  kualitas cgi sri asih  adegan fightnya  te "
"271","Netral",0,"cari temen  wakanda  sri asih gaysemarang"
"272","Netral",0," hahahaa sri asih "
"273","Positif",2,"ta sri asih cantik banget argh"
"274","Netral",0,"yuk f  sri asih besok sender mbills on meoyi"
"275","Netral",0,"  asik banget baca njelasan   dikirkir emang  kaitannya kuat   ya  tim "
"276","Netral",0,"timbang  ala dunia   sri asih wae nyawang vita  adem "
"277","Netral",0," rangka mendukung industri rfilman indonesia  menonton film sri asih surhero asli indones "
"278","Negatif",-1,"pusing  sri asih scrinya sungguhlah "
"279","Netral",0,"sri asih  bagus yh"
"280","Netral",0," bro sri asih tayang bro"
"281","Netral",0," sri asih rgi  sar "
"282","Positif",2,"  gaya fightnya sri asih  anggun kayanya keren sesuai namanya bertarung  nuh welas asih "
"283","Netral",0," rame malam ffi muja sri asih  ae belain filmnyahalah kntl"
"284","Positif",2,"sri asih keren mba  takjub ama adega reza dikerubunin vitasemoga   bcu  tira "
"285","Positif",2,"ngga bereksktasi   sri asih ta wow ngga mengecewakan keren banget"
"286","Negatif",-1,"sri asih kek tai jam  bikin bosen  mending gundala  bilang sri asih bagus selera filmnya jelek "
"287","Netral",0,"sri asih kereeenkawal bumilangit cinematic universe sam lengkasemua "
"288","Netral",0,"sri asih sriasih "
"289","Netral",0,"sri asih was a  cukuoke"
"290","Netral",0,"sri asih bagus deh sukaa  abis    virgo  "
"291","Negatif",-2,"marah  sifat  sri asihjelas  "
"292","Netral",0,"   misha nyengir lebar sri asih tunjukkanta   dengardengar  "
"293","Netral",0," ayuk ajak temanteman    sri asih biar      kelanjut "
"294","Netral",0," sekedar saran  bang gimana  ngadain omo   "
"295","Netral",0," emg krn s scene   cristin hakim bilang     kekuatan serti sri a "
"296","Negatif",-1," emti darida vyela  tersamikan   merta  sontak  suasana hati "
"297","Negatif",-2,"sri asih lemnya bagus ta kelamaannnn   gelisah wwkwkk  gelisah     kebel "
"298","Netral",0," sri asih yuk"
"299","Negatif",-1," sri asih sih n  nnton "
"300","Positif",1," sri asih  nggak nih alasannya  nambahin rsonil wanita tangguh  mcu"
"301","Netral",0,"sri asih vs moon knight x dementor sriasih"
"302","Netral",0," sri asih sti wkwk"
"303","Negatif",-2,"       menilai buruk film sriasih    klo bilang bagus ya bagus "
"304","Negatif",-1,"sri asih bagus banget  sia ngebut deadline ngejar film jam  biar tanggal tua   ribu worth it sekaleee "
"305","Positif",2,"   sri asih  keren banget cuy film "
"306","Negatif",-2,"black dat memanggil arwah ra leluhurnya  mengendalikan ruang  melitgandakan  ukuran da "
"307","Netral",0,"   sri asih"
"308","Netral",0,"  sri asihsriasih nontonsriasih"
"309","Netral",0,"abis  sri asih mudah  "
"310","Negatif",-1,"   adegan kabur     setuju ta   cgi  sri asih     bagus"
"311","Netral",0,"sri asih  siler with no context "
"312","Negatif",-2,"  mencuri raden saleh qodrat sri asih ngeringeri seda pengabdi setan "
"313","Negatif",-1," ams    filmitu oni selera ibadi lu tolol   bero "
"314","Netral",0,"yuk  sri asih  sriasih "
"315","Netral",0," logika  deh hollywood filmnya dunia budget ratusan juta dollar sri asih film lokal ling ma "
"316","Negatif",-1,"okay biar fair   jelasin kena   cgi sriasih     ling ga suka efek letusan gunun "
"317","Positif",1,"joko anwar  oduser inovatif jagat sinema bumilangit angkat suara  rtanyaan   den karakter d "
"318","Netral",0," kostum  bagusan sri asih  gundala ah wkwkw"
"319","Negatif",-1,"  nggak  ek   komikroh setan  komik  musuhnya godam  sri asih"
"320","Netral",0,"revaldo  sri asih jga"
"321","Negatif",-2,"  pengabdi setan  mencuri raden saleh  srimulat hil  mustahal  sri asih perfect stranger"
"322","Negatif",-1," sri asih salah  member agnation  sih hahaha ytta"
"323","Negatif",-1," situasi    terkendali    turun tangan ah shiaman musnahkan ra koru "
"324","Netral",0," karakter   film surhero sri asih "
"325","Netral",0," jarang film indonesia cgi   sri asih "
"326","Positif",1,"teruntuk  hak  terlibatfilm   film adisatria terbaik  adimin tonton an kemungkinnya "
"327","Negatif",-1," gatot kaca no gundala sri asih yes"
"328","Negatif",-1,"ah na kentang  scane ending berantem sri asih"
"329","Netral",0," sri asih"
"330","Positif",1," ta emang  mas film  sri asih  cgi   keren"
"331","Netral",0,"  abang bayarin  sri asih"
"332","Negatif",-1," hahaa  bang   sri asih versi ngondek    melayang kmna mna"
"333","Netral",0,"  berani keluarin duit segitu gedenya  cgi  sejelek an filmnya ndatan  "
"334","Netral",0," yukkkk   sri asih  tai"
"335","Negatif",-2," ribu orang  lihat jakarta night aerial footage drone view stock video hd  k  sri asih "
"336","Netral",0,"  abang bayarin  sri asih"
"337","Netral",0,"woii sri asih seruuu"
"338","Netral",0," gatau  liat  artikel daftar cast film sri asih wkwkwk"
"339","Netral",0," sambutan   ketua komite ffi rezarahadian tugas thn  ye k  oud of u "
"340","Netral",0," kebalikan sri asih"
"341","Netral",0,"diajak  us onenya   hadir  undangan nobar sri asih besok   jam  siang ngomongin  dres "
"342","Netral",0," film  wakanda  sri asih"
"343","Positif",1,"okey ditunggu ceritanya oh ya  uda    lu  sri asih kak gits seru lohgitalk"
"344","Netral",0,"sri asih gt gt gt black widow "
"345","Netral",0,"movies ive watched sri asih setiasri asih landing    menatamusuhnya   "
"346","Positif",1,"guys    sri asih issss kudu  ya  bagus banget gilaaaaaak   sabar  next oject godam "
"347","Netral",0," bener habis monton sri asih    hlawan"
"348","Netral",0,"cant stothinking how surya satra resembles surya loh and reza rahadian looks like jesus christ in sri asih"
"349","Netral",0,"bright ngelawan sri asih g"
"350","Negatif",-1," ayoo  sri asih gua  bayar"
"351","Netral",0," tambahan   ditease  webtoon sri asih terkait nguasa lautan   "
"352","Netral",0,"     sri asih"
"353","Netral",0,"    berbekal  sri asih  x"
"354","Netral",0,"abis nnton sri asih   naksir vita"
"355","Netral",0,"sri asih siler no context "
"356","Netral",0,"kebioskob  sri asih kean rakebioskob  sri asih  kolor "
"357","Negatif",-1,"btw  nggak  maksud nyerang mas ya maaf    trigger  dibilang marketing  dibayar "
"358","Netral",0,"ta  sri asih   ghazul  gundala"
"359","Negatif",-1," nyambung   ghazul nyebut nama sri asih instead of gundala  sosok asih    ngalahin "
"360","Negatif",-2,"semt  teori  kalimat  ta kondisi  berubah drastis  a   ketahui  film sri a "
"361","Negatif",-1,"film sri asih ngenalin antagonis  jsb dewi adiceritakan   dewi a  ribuan a jutaan "
"362","Positif",1,"sekedar warning thread  slightly mengandung siler sri asih   tetebaca ya monggo syukur s "
"363","Positif",1,"aming bilang   banget  sri asih "
"364","Netral",0," red cart  kesiler sri asih "
"365","Negatif",-1,"duh gua belom  sri asih nih"
"366","Netral",0," sri asih  nyam  juta i will go riot hahahha canda sumh guys buruan  bioskojangan ditundatunda "
"367","Positif",1,"faktafakta  membuktikan  indonesia  mam   mengembangkan genre surhero  kualitas  "
"368","Negatif",-1,"cgi   orang indonesiasangat membanggakan film sri asih  kualitas cgi   meningkat ternyat "
"369","Netral",0,"kostum sri asih   amerikasebelumnya kostum gundala diakhir     negeri kali  sri asih "
"370","Netral",0,"sri asih surhero indonesia     dilewatinadegan berantemnya intens banget gan berasa  "
"371","Netral",0,"pembukanya gundala   sri asih  direct  ak  kelas surhero indonesia    da "
